Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,27450.0,28850.0,27335.05078125,28676.599609375,28615.33203125,83170
2021-03-05,28300.5,28894.849609375,27740.94921875,27848.599609375,27789.099609375,65557
2021-03-08,27900.0,28486.94921875,27093.19921875,27185.05078125,27126.96875,57156
2021-03-09,27445.0,27980.0,27151.849609375,27313.150390625,27254.794921875,59204
2021-03-10,27538.900390625,27693.849609375,27300.0,27555.80078125,27496.927734375,29812
2021-03-12,27878.0,27980.0,27541.0,27701.5,27642.314453125,43864
2021-03-15,27811.5,27850.0,27005.099609375,27644.55078125,27585.48828125,32587
2021-03-16,27895.0,27948.25,27351.099609375,27430.80078125,27372.193359375,38175
2021-03-17,27431.099609375,27550.0,26710.900390625,26842.19921875,26784.849609375,38409
2021-03-18,27125.0,27269.94921875,26450.0,26595.5,26538.677734375,38464
2021-03-19,26455.0,27118.25,26100.0,26936.69921875,26879.1484375,74153
2021-03-22,26900.0,27214.150390625,26618.0,26954.5,26896.91015625,45373
2021-03-23,26951.0,28500.0,26951.0,28312.19921875,28251.708984375,123156
2021-03-24,28172.0,28390.650390625,27719.900390625,27803.30078125,27743.8984375,63069
2021-03-25,27900.0,28139.94921875,27264.94921875,27580.349609375,27521.423828125,64357
2021-03-26,27810.69921875,28319.94921875,27673.05078125,28116.19921875,28056.12890625,74139
2021-03-30,28500.0,29500.0,28301.80078125,29094.44921875,29032.2890625,94570
2021-03-31,29094.44921875,29660.0,28756.0,29465.400390625,29402.447265625,82764
2021-04-01,29570.0,30279.5,29445.400390625,29951.94921875,29887.955078125,52771
2021-04-05,29900.0,30628.400390625,29650.0,30358.25,30293.388671875,124392
2021-04-06,30375.0,30500.0,30010.349609375,30114.099609375,30049.759765625,52886
2021-04-07,30140.0,30580.69921875,29953.0,30230.650390625,30166.0625,40554
2021-04-08,30260.0,32048.0,30260.0,31582.650390625,31515.173828125,148094
2021-04-09,31682.400390625,31990.0,31120.0,31748.75,31680.91796875,146698
2021-04-12,31200.0,31497.400390625,29757.849609375,29881.05078125,29817.208984375,114698
2021-04-13,30200.0,30699.900390625,30110.0,30356.05078125,30291.193359375,91665
2021-04-15,30599.0,30896.05078125,29514.0,30305.400390625,30240.65234375,72414
2021-04-16,30440.0,30988.80078125,30056.150390625,30821.099609375,30755.25,58345
2021-04-19,30001.05078125,30490.30078125,29557.30078125,30057.75,29993.53125,52945
2021-04-20,30420.0,30655.80078125,29051.0,29320.69921875,29258.0546875,72618
2021-04-22,29200.0,29200.0,28083.349609375,28521.94921875,28461.01171875,83043
2021-04-23,28499.0,28673.349609375,27926.0,28106.30078125,28046.25,70968
2021-04-26,28249.0,28444.150390625,27951.05078125,28062.599609375,28002.642578125,40346
2021-04-27,28185.69921875,28325.0,27965.0,28098.55078125,28038.517578125,31369
2021-04-28,28180.0,28781.0,28105.099609375,28687.55078125,28626.259765625,33961
2021-04-29,28701.05078125,29050.0,28249.400390625,28444.349609375,28383.578125,47589
2021-04-30,28340.0,28432.349609375,27808.150390625,27910.5,27850.869140625,32147
2021-05-03,27500.0,28080.55078125,27327.599609375,27989.849609375,27930.048828125,38741
2021-05-04,28111.349609375,28111.5,27531.0,27753.30078125,27694.005859375,41857
2021-05-05,27850.0,28044.400390625,27713.30078125,27844.19921875,27784.708984375,24250
2021-05-06,27845.0,27946.25,27500.0,27736.19921875,27676.939453125,33337
2021-05-07,27847.0,27948.25,27700.0,27840.0,27780.51953125,21548
2021-05-10,27979.0,28035.150390625,27238.400390625,27309.94921875,27251.6015625,49736
2021-05-11,27200.0,27580.80078125,26744.19921875,27513.099609375,27454.31640625,60904
2021-05-12,27415.25,27450.0,26752.0,26833.25,26775.919921875,59338
